chr1	11873	11873	+	DDX11L1
chr1	17436	17436	-	MIR6859-4
chr1	29370	29370	-	WASH7P
chr1	30365	30365	+	MIR1302-11
chr1	36081	36081	-	FAM138A
chr1	69090	69090	+	OR4F5
chr1	140566	140566	-	LOC729737
chr1	187958	187958	-	MIR6859-4
chr1	206597	206597	-	FAM138D
chr1	451678	451678	-	OR4F29
chr1	495445	495445	-	LOC100132287
chr1	629009	629009	-	LOC101928626
chr1	632413	632413	-	MIR6723
chr1	686654	686654	-	OR4F29
chr1	730351	730351	-	LOC100133331
chr1	778688	778688	-	LOC100288069
chr1	817370	817370	+	FAM87B
chr1	827522	827522	-	LINC00115
chr1	827590	827590	+	LINC01128
chr1	827797	827797	+	LINC01128
chr1	876802	876802	-	FAM41C
chr1	919692	919692	-	LOC100130417
chr1	925740	925740	+	SAMD11
chr1	959299	959299	-	NOC2L
chr1	960586	960586	+	KLHL17
chr1	966496	966496	+	PLEKHN1
chr1	982117	982117	-	PERM1
chr1	1000172	1000172	-	HES4
chr1	1013466	1013466	+	ISG15
chr1	1020122	1020122	+	AGRN
chr1	1074307	1074307	-	RNF223
chr1	1116356	1116356	-	C1orf159
chr1	1137016	1137016	+	LINC01342
chr1	1167103	1167103	+	MIR200B
chr1	1167862	1167862	+	MIR200A
chr1	1169004	1169004	+	MIR429
chr1	1173905	1173905	+	TTLL10
chr1	1179696	1179696	+	TTLL10
chr1	1206709	1206709	-	TNFRSF18
chr1	1214168	1214168	-	TNFRSF4
chr1	1232067	1232067	-	SDF4
chr1	1232248	1232248	+	B3GALT6
chr1	1246722	1246722	-	C1QTNF12
chr1	1273854	1273854	-	UBE2J2
chr1	1280435	1280435	+	SCNN1D
chr1	1296170	1296170	-	MIR6726
chr1	1304812	1304812	-	SNORD167
chr1	1307889	1307889	-	ACAP3
chr1	1308579	1308579	+	PUSL1
chr1	1312566	1312566	-	MIR6727
chr1	1324687	1324687	-	INTS11
chr1	1324762	1324762	+	CPTP
chr1	1331345	1331345	+	TAS1R3
chr1	1339708	1339708	-	MIR6808
chr1	1349112	1349112	-	DVL1
chr1	1358547	1358547	-	MXRA8
chr1	1358794	1358794	-	MXRA8
chr1	1361777	1361777	-	MXRA8
chr1	1363541	1363541	-	MXRA8
chr1	1375182	1375182	-	AURKAIP1
chr1	1375200	1375200	-	AURKAIP1
chr1	1375438	1375438	-	AURKAIP1
chr1	1399338	1399338	-	CCNL2
chr1	1399529	1399529	+	LOC148413
chr1	1407313	1407313	-	MRPL20
chr1	1421444	1421444	-	ANKRD65
chr1	1426127	1426127	+	TMEM88B
chr1	1434573	1434573	-	LINC01770
chr1	1435522	1435522	+	VWA1
chr1	1449688	1449688	+	ATAD3C
chr1	1471754	1471754	+	ATAD3B
chr1	1478114	1478114	+	ATAD3B
chr1	1512142	1512142	+	ATAD3A
chr1	1512529	1512529	+	ATAD3A
chr1	1540360	1540360	-	TMEM240
chr1	1574882	1574882	-	SSU72
chr1	1600096	1600096	-	FNDC10
chr1	1615414	1615414	+	MIB2
chr1	1615864	1615864	+	MIB2
chr1	1632180	1632180	+	MMP23B
chr1	1632779	1632779	+	MMP23A
chr1	1659097	1659097	-	CDK11B
chr1	1692804	1692804	-	SLC35E2B
chr1	1699938	1699938	+	MMP23A
chr1	1724565	1724565	-	CDK11A
chr1	1745999	1745999	-	SLC35E2
chr1	1758642	1758642	-	NADK
chr1	1778470	1778470	-	NADK
chr1	1778858	1778858	-	NADK
chr1	1780069	1780069	-	NADK
chr1	1891117	1891117	-	GNB1
chr1	1914826	1914826	+	CALML6
chr1	1919301	1919301	-	TMEM52
chr1	2003837	2003837	-	CFAP74
chr1	2019328	2019328	+	GABRD
chr1	2050070	2050070	-	LOC105378591
chr1	2050469	2050469	+	PRKCZ
chr1	2073646	2073646	+	PRKCZ
